enzyme,buffer,incubation_c,inactivate_c,inactivate_min,time_saver,stock_u_per_ul,notes,source
AatII,rCutSmart,37,80,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
Acc65I,NEBuffer r3.1,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
AccI,rCutSmart,37,80,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
AciI,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
AclI,rCutSmart,37,0,0,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
AcuI,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
AfeI,rCutSmart,37,65,20,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
AflII,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
AflIII,NEBuffer r3.1,37,80,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
AgeI-HF,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
AhdI,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
AleI-v2,rCutSmart,37,65,20,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
AluI,rCutSmart,37,80,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
AlwI,rCutSmart,37,0,0,0,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
AlwNI,rCutSmart,37,80,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
ApaI,rCutSmart,37,65,20,1,0,,NEB NEBuffer Activity/Performance Chart with Restriction Enzymes (neb.com) - saved 2026-09-22; NEB Heat Inactivation (neb.com) - saved 2026-09-22
